Package,Version
aqfig,0.9
AQLSchemes,1.7-2
aqp,2.3.2
AquaAnalytix,0.1.0
AquaBEHER,1.4.0
aquacultuR,1.1.1
AQuadtree,1.0.6
AquaEnv,1.0-5
AQuality,1.4
AquaticLifeHistory,1.0.6
aquodom,0.1.1
arabic2kansuji,0.1.3
arabicStemR,1.3
arakno,1.3.2
aramappings,0.2.0
araponga,1.0.1
ArArRedux,1.0
arc,1.4.2
ARCensReg,3.0.2
arcgeocoder,0.4.1
arcgis,0.2.0
arcgisgeocode,0.4.0
arcgislayers,0.6.0
arcgisplaces,0.1.2
arcgisutils,0.5.0
ArchaeoPhases,2.1.1
ArchaeoPhases.dataset,0.2.0
archdata,1.2-1
archeofrag,1.2.4
archeofrag.gui,1.1.4
archeoViz,1.4.1
archetypal,1.3.1
archetyper,0.1.0
archetypes,2.2-0.2
archiDART,3.4
archipelago,0.1.0
ArchipelagoEngine,0.1.1
ARCHISSUR,0.0.1
archive,1.1.13
archiveRetriever,0.4.1
archivist,2.3.9
ArCo,0.3-1
ARCokrig,0.1.3
arcopt,0.3.0
arcpbf,0.2.0
arcpullr,0.3.5
arcpy,0.4-0
ArctosR,0.1.3
aRD,0.1.0
ArDec,2.1-1
ARDECO,2.2.3
ARDL,0.2.5
ardl.nardl,1.3.0
ardlverse,2.0.0
ards,0.1.3
area,0.2.0
areabiplot,1.0.0
areal,0.1.8
areaOfEffect,0.2.4
areaplot,2.1.3
arenar,0.2.0
arete,0.2
arf,0.2.4
arfima,1.8-2
arg,0.1.1
ArgentinAPI,0.2.1
Argentum,1.0.0
argminCS,1.1.0
argo,3.0.3
argoFloats,1.0.9
argonDash,0.2.5
argonR,0.2.0
ARGOS,0.1.1
argosfilter,0.71
argparse,2.3.1
argparser,0.7.3
argus,0.1.1
ARHT,0.1.0
ARIbrain,0.2
aricode,1.1.0
aridagri,2.0.3
AriGaMyANNSVR,0.1.0
arima2,3.4.3
ARIMAANN,0.1.0
arkdb,0.0.19
arkhaia,0.5.5
arkhe,1.11.0
arl,0.1.4
arlclustering,1.0.5
arm,1.15-3
armadillo4r,1.0.0
ARMALSTM,0.1.0
armaOptions,1.0.1
armspp,0.0.3
aroma.affymetrix,3.2.3
aroma.apd,0.7.1
aroma.cn,1.7.1
aroma.core,3.3.2
Arothron,2.0.5
ARPALData,2.0.0
ARPobservation,1.2.2
arpr,0.1.2
aRpsDCA,1.1.1
arrangements,1.1.10
arrApply,2.2.1
arrayhelpers,1.1-1
arrg,0.1.0
arrow,24.0.0
arrowheadr,1.0.2
ars,0.8
arsenal,3.7.1
arthistory,0.1.0
artma,0.3.3
ARTofR,0.4.1
artoo,0.1.2
ARTool,0.11.2
artpack,0.2.0
aRtsy,1.0.1
ARTtransfer,1.0.0
arules,1.7.14
arulesCBA,1.2.9
arulesNBMiner,0.1.9
arulesSequences,0.2-32
arulesViz,1.5.4
ARUtools,0.7.3
ArvindSt,1.1.0
aRxiv,0.20
asaur,0.50
asbio,1.13-1
ascii,2.6
asciicast,2.3.1
asciichartr,0.1.0
asciiruler,0.2
asciiSetupReader,2.5.3
ascotraceR,0.0.1
asd,2.2
asdreader,0.1-3
ASGS.foyer,0.3.3
ash,1.0-15
ashapesampler,1.0.0
ashr,2.2-63
asht,1.0.3
AsianOption,0.2.0
AsioHeaders,1.30.2-1
askgpt,0.1.3
askpass,1.2.1
aslib,0.1.3
asm,0.2.4
ASMbook,1.0.2
asmbPLS,1.0.0
ASML,1.1.0
asnipe,1.1.17
aspace,4.1.2
aspect,1.0-7
aspi,0.2.0
aspline,0.2.0
aSPU,1.50
asremlPlus,4.4.58
ASRgenomics,1.1.6
ASSA,2.0
assemblykor,0.1.2
assert,1.0.1
assertable,0.2.8
assertHE,1.0.1
assertions,0.3.0
assertr,3.0.1
assertthat,0.2.1
assessor,1.3.1
AssetPricing,1.0-3
assignPOP,1.3.1
assignR,2.4.3
assist,3.1.9
ASSISTant,1.4.3
AssocBin,1.1-2
AssociationExplorer2,0.1.5
assocInd,1.0.1
assortnet,0.20
AssumpSure,1.1.4
AST,0.1.0
aster,1.3-7
aster2,0.3-2
asteRisk,1.4.5
astgrepr,0.1.1
AsthmaNHANES,1.1.0
astrochron,1.7
astroFns,4.2-1
astronomR,0.1.0
astronomyengine,0.1.0
astsa,2.5
asus,1.5.0
ASV,1.1.4
AsyK,1.5.6
asylum,1.1.2
AsymmetricSORDs,1.0.0
asymmetry,2.0.6
asymmetry.measures,0.2
asympDiag,0.3.3
asympTest,0.1.4
asymptor,1.1.0
AsynchLong,2.4
ata,1.1.1
atable,0.1.15
ATAforecasting,0.0.61
atakrig,0.9.8.2
ATbounds,0.1.1
ATE.ERROR,1.0.0
AteMeVs,0.1.0
Athlytics,1.0.5
atime,2026.4.2
atlas,1.0.0
atlasapprox,0.1.0
AtlasMaker,0.1.0
AtmChile,1.2.0
atmopt,0.1.0
ATNr,1.1.2
ato,0.1.0
atom4R,0.3-4
atpolR,0.1.1
ATQ,0.2.3
ATR,0.1-1
atRisk,0.2.0
atrrr,0.2.0
aTSA,3.1.2.1
attachment,1.0.0
attempt,0.3.1
attention,0.4.0
attestix,0.4.1
attrib,2021.1.2
AUC,0.3.2
audio,0.1-12
audiometry,0.3.0
AudioScatter,1.1.1
audit,0.1-2
auditor,1.3.5
audrex,3.0.0
audubon,0.6.3
augSIMEX,3.7.4
auk,0.9.1
AUKtest,0.1.0
aum,2024.6.19
AurieLSHGaussian,0.2.0
auRoc,0.2-1
aurora,0.1.12
ausplotsR,2.0.5
AustralianPoliticians,0.1.0
AUtests,0.99
auth0,0.3.0
authordown,0.1.0
authoritative,0.2.0
auto.pca,0.3
AutoAds,0.1.0
autoann,0.1.0
autoBagging,0.1.0
autocodebook,0.1.0
autocogs,0.1.5
autoCovariateSelection,1.0.0
autodb,3.2.4
AutoDeskR,0.5.0
autoEnsemble,0.3
autoFC,1.0.0.1001
autoFlagR,1.0.0
autoFRK,1.4.4
autogam,0.1.0
autoGO,1.0.3
autograph,1.0.3
autoharp,0.3.2
autohrf,1.1.3
autoimage,2.2.3
autoimport,0.1.1
autokeras,1.0.12
autoLibLoad,1.0
automagic,0.5.1
automap,1.1-20
automatedRecLin,1.1.2
automatedtests,0.1.2
automerge,0.4.0
autometric,0.1.2
automl,1.3.2
AutoMLR,1.0.0
autoMR,1.2.0
autonewsmd,0.1.0
AutoNN,0.1.0
Autoplotprotein,1.1
AutoPlots,1.5.0
autoReg,0.3.5
AutoregressionMDE,1.0
AutoScore,1.1.0
autoScorecard,0.3.0
Autoseed,0.1.0
autoshiny,0.0.3
autoslider.core,0.3.2
autostats,0.4.2
AutoStepwiseGLM,0.2.0
AutoStrataK,0.1.4
autostsm,3.1.5
autosync,0.1.0
autotab,1.0.1
autotesteR,0.1.12
autotestR,1.2.15
autothresholdr,1.4.3
AutoTransQF,0.1.3
autoTS,0.9.11
autovi,0.4.1
AutoWMM,1.0.2
AuxSurvey,1.1
auxvecLASSO,0.2.0
av,0.9.6
AV1R,0.1.3
available,1.1.0
avar,0.1.3
averisk,1.0.3
avesperu,0.1.1
AVGAS,0.1.0
avidaR,1.2.1
avilistr,0.0.1
AvInertia,0.0.2
aVirtualTwins,1.0.1
avlm,0.1.0
avocado,0.2.0
avotrex,1.3.0
avseqmc,1.0.2
avstrat,0.1.1
awdb,0.1.3
aweek,1.0.3
aweSOM,1.3
awinR,0.1.0
AWR,1.11.189-1
AWR.Kinesis,1.7.6
aws,2.5-6
aws.ecx,1.0.6
aws.iam,0.1.8
aws.kms,0.1.4
aws.lambda,0.2.0
aws.polly,0.1.5
aws.s3,0.3.22
aws.signature,0.6.0
aws.transcribe,0.1.3
aws.translate,0.1.4
aws.wrfsmn,0.1.0
awsMethods,1.1-1
axisandallies,0.1.1
axprism,0.2.0
AZIAD,0.0.3
azlogr,0.0.6
azr,0.3.5
AzureAppInsights,0.3.1
AzureAuth,1.3.4
AzureCognitive,1.0.2
AzureContainers,1.3.3
AzureCosmosR,1.0.0
AzureGraph,1.3.5
AzureKeyVault,1.0.6
AzureKusto,1.1.4
azuremapsr,0.0.2
azuremlsdk,1.10.0
AzureQstor,1.0.2
AzureRMR,2.4.5
AzureStor,3.7.1
AzureTableStor,1.0.0
AzureVision,1.0.2
AzureVM,2.2.2
AzureVMmetadata,1.0.1
b32,0.1.0
b64,0.1.7
babebi,0.1.0
babel,0.3-0
babelgene,22.9
babelmixr2,0.1.11
babelwhale,1.2.0
babette,2.3.4
babynames,1.0.1
babynamesIL,0.2.3
babyTimeR,0.1.0
BACCO,2.1-0
BacenAPI,0.3.1
bacenR,0.4.4
bacistool,1.0.0
backbone,3.0.4
backpipe,0.2.3
backports,1.5.1
backtest,0.3-4
backtestGraphics,0.1.8
baclava,1.1
bacondecomp,0.1.1
bacontrees,1.0.0
BACprior,2.1.2
bacr,1.0.1
badgen,1.0.1
badger,0.2.5
badp,0.5.0
baf,0.0.4
baffle,0.2.2
bage,0.10.9
bagged.outliertrees,1.0.0
baggingbwsel,1.1
baggr,0.8.2
BAGofT,1.0.0
baguette,1.1.0
BagWhiskerPlot,0.1.0
bagyo,0.2.0
bahc,0.3.0
bain,0.2.11
baizer,0.8.0
bakeoff,0.2.0
baker,1.0.4
bakerrr,0.2.0
bakR,1.0.1
BalanceCheck,0.2
BalancedSampling,2.1.1
baldur,0.0.4
Ball,1.3.13
BALLI,0.2.0
BallMapper,0.2.0
balnet,0.0.3
BaM,1.0.3
bama,1.3.1
BAMBI,2.3.7
bambooHR,0.1.1
bamdit,3.6.0
bamlss,1.2-5
bamm,0.6.2
BAMMtools,2.1.12
bamp,2.2.0
BANAM,0.2.2
bandicoot,1.0.0
bandit,0.5.1
banditpam,1.0-2
banditsCI,1.0.0
bandsfdp,1.1.0
banffIT,2.0.0
bang,1.0.4
bangladesh,1.0.0
bannerCommenter,1.0.0
banR,0.2.4
banter,0.9.8
banxicoR,0.9.0
baorista,0.2.1
bapred,1.1
BAQM,0.1.4
BAR,0.1.1
BarBorGradient,1.0.5
barcode,1.4.0
baRcodeR,0.1.7
BarcodingR,1.0-3
BAREB,0.1.2
bark,1.0.5
Barnard,1.8
barrel,0.1.0
barrks,1.1.2
barry,0.2.1
BART,2.9.10
bartCause,1.0-10
bartcs,1.3.0
bartMachine,1.4.2
bartMachineJARs,1.2.2
bartMan,0.2.1
bartXViz,1.0.11
baRulho,2.1.6
BAS,2.0.2
basad,0.3.0
base.rms,1.0
base64,2.0.2
base64enc,0.1-6
base64url,1.4
baseballr,1.6.0
basecamb,1.1.5
basedosdados,0.2.3
basefun,1.2-6
baseline,1.3-7
baselinenowcast,0.2.0
baselinr,0.5.0
basemaps,0.0.8
basemodels,1.1.0
basepenguins,0.1.0
baseq,0.2.0
baserater,0.1.2
bases,0.2.0
BaseSet,1.0.0
BaseTempSeed,0.1.0
basetheme,0.1.3
baseverse,0.1.4
basf,0.2.0
basicdrm,0.3.2
basicMCMCplots,0.2.7
basicspace,0.25
basictabler,1.0.4
basifoR,0.7.8
BASiNET,0.0.5
BASiNETEntropy,0.99.6
BaSkePro,1.1.1
basket,0.10.11
BasketballAnalyzeR,0.8.1
BasketTrial,0.1.0
baskexact,1.0.1
baskoptr,1.0.4
basksim,2.2.0
baskwrap,1.0.3
BASS,1.3.1
BaSTA,2.0.2
BAT,2.11.1
batata,0.2.1
batch,1.1-5
BatchExperiments,1.4.4
BatchGetSymbols,2.6.4
BatchJobs,1.10
batchmeans,1.0-4
batchmix,2.2.2
batchscr,0.1.0
batchtma,0.2.0
batchtools,0.9.18
bate,0.1.0
batman,0.1.0
batsch,0.1.1
BATSS,1.2.0
batteryreduction,0.1.1
BAwiR,1.5.2
bayclumpr,0.1.0
baycn,2.0.0
bayefdr,0.2.1
Bayenet,0.3
bayes4psy,1.2.13
bayesammi,0.3.0
bayesanova,1.6
BayesAT,0.1.0
BayesBinMix,1.4.1
bayesboot,0.2.3
BayesBP,1.1
BayesBrainMap,0.2.0
BayesCACE,1.2.3
BayesChange,2.3.0
BayesCombo,1.0
bayescount,0.9.99-9
BayesCPclust,0.1.0
BayesCR,2.1
BayesCTDesign,0.6.1
bayesCureRateModel,1.6
BayesCVI,1.0.2
bayesDccGarch,3.0.4
